n_train,n_val,n_full_train,n_test,n_features,model_name,params_json,search_space_str,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,timestamp
667,166,833,356,20,RandomForest,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 16, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": 0.8654367662002576, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 1183, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",Fixed params (baseline),3821.3280267077753,49749853.4659776,-0.1733447930565497,2629.260851888303,11754926.60965401,0.6675142388288824,2025-11-16T22:54:05.250011
667,166,833,356,20,XGBoost,"{""objective"": ""reg:squarederror"", ""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.8, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": null, ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.02, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 8, ""max_leaves"": null, ""min_child_weight"": 1.0, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 5000, ""n_jobs"": -1, ""num_parallel_tree"": null, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""sampling_method"": null, ""scale_pos_weight"": null, ""subsample"": 0.8, ""tree_method"": ""hist"", ""validate_parameters"": null, ""verbosity"": null}",Fixed params; early_stopping_rounds=200,3743.1646860881024,23948432.71332335,0.43517886248128024,2968.2907342232124,14988257.27340923,0.5760601240942426,2025-11-16T22:54:21.542343
667,166,833,356,20,LightGBM,"{""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 0.8, ""importance_type"": ""split"", ""learning_rate"": 0.02, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 5000, ""n_jobs"": -1, ""num_leaves"": 127, ""objective"": null, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_for_bin"": 200000, ""subsample_freq"": 0}",Fixed params; early_stopping_rounds=200,4724.31057382925,33779650.52350719,0.20331067748506237,6325.193674987938,55554591.830844484,-0.5713505804671926,2025-11-16T22:54:21.692402
667,166,833,356,20,Ridge (Optuna),"{""alpha"": 995.1188795646651}","alpha ~ loguniform[1e-4, 1e3]; n_trials=50",5406.8486037878365,47105361.36409889,-0.11097473924040058,4850.939279396949,40924166.74410296,-0.1575319167906999,2025-11-16T22:54:29.555730
667,166,833,356,20,Lasso (Optuna),"{""alpha"": 99.25676923538173}","alpha ~ loguniform[1e-4, 1e2]; n_trials=50",21729.43820624148,783057816.3022571,-17.468332013255527,12623.386848696162,288194168.31100947,-7.151514730620976,2025-11-16T22:54:30.582215
667,166,833,356,20,RandomForest,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 16, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": 0.8654367662002576, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 1183, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",Fixed params (baseline),3821.3280267077744,49749853.4659776,-0.1733447930565497,2629.2608518883035,11754926.60965401,0.6675142388288824,2025-11-16T23:06:56.517899
667,166,833,356,20,XGBoost,"{""objective"": ""reg:squarederror"", ""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.8, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": null, ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.02, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 8, ""max_leaves"": null, ""min_child_weight"": 1.0, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 5000, ""n_jobs"": -1, ""num_parallel_tree"": null, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""sampling_method"": null, ""scale_pos_weight"": null, ""subsample"": 0.8, ""tree_method"": ""hist"", ""validate_parameters"": null, ""verbosity"": null}",Fixed params; early_stopping_rounds=200,3743.1646860881024,23948432.71332335,0.43517886248128024,2968.2907342232124,14988257.27340923,0.5760601240942426,2025-11-16T23:07:12.214556
667,166,833,356,20,LightGBM,"{""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 0.8, ""importance_type"": ""split"", ""learning_rate"": 0.02, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 5000, ""n_jobs"": -1, ""num_leaves"": 127, ""objective"": null, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_for_bin"": 200000, ""subsample_freq"": 0}",Fixed params; early_stopping_rounds=200,4724.31057382925,33779650.52350719,0.20331067748506237,6325.193674987938,55554591.830844484,-0.5713505804671926,2025-11-16T23:07:12.334111
667,166,833,356,20,Ridge (Optuna),"{""alpha"": 998.8270480903305}","alpha ~ loguniform[1e-4, 1e3]; n_trials=50",5402.606899482038,47019221.355998136,-0.10894313667401323,4843.743783367314,40806906.75358598,-0.15421524128122144,2025-11-16T23:07:20.044446
667,166,833,356,20,Lasso (Optuna),"{""alpha"": 98.27220907678168}","alpha ~ loguniform[1e-4, 1e2]; n_trials=50",21737.985842778213,783679078.3934423,-17.482984410981967,12626.75385816762,288401872.3246483,-7.157389597335694,2025-11-16T23:07:21.091720
